n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
4,11,0.75,1,307.873600000015,56.62777674,0,0,1,350.9011522,0.56685701,0,0,1,350.9011522,0.03719646,0,0
4,11,1,1,326.036900000021,74.11005426,0,0,1,361.7850832,0.59744978,0,0,1,361.7850832,0.04601598,0,0
4,12,0.25,1,159.183700000001,26.26859611,0,0,0.996879267252114,269.2139625,0.58339728,0,0.21,1,267.667981,0.05170217,0,0
4,12,0.5,1,264.407100000007,45.10448634,0,0,0.999359162643638,327.3718228,0.60209306,0,0.01,1,327.2909206,0.05318281,0,0
4,12,0.75,1,311.860500000017,71.23991479,0,0,1,358.7546476,0.5941453,0,0,1,358.7546476,0.04830065,0,0
4,12,1,1,328.958800000021,82.72149814,0,0,1,361.9901886,0.59424649,0,0,1,361.9901886,0.04466575,0,0
4,13,0.25,1,177.088600000001,27.04641619,0,0,0.997714371912492,287.9615845,0.55714017,0,0.13,1,285.3082512,0.04895019,0,0
4,13,0.5,1,282.870400000008,55.25963125,0,0,0.998186223775068,339.9731489,0.56100617,0,0.01,1,339.9470551,0.04847308,0,0
4,13,0.75,1,319.292800000018,77.63021337,0,0,1,358.9892779,0.58391068,0,0,1,358.9892779,0.04262214,0,0
4,13,1,1,339.956100000027,91.48619588,0,0,1,369.3139785,0.55969991,0,0,1,369.3139785,0.04264379,0,0
