n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,20,0.5,1,158.571600000008,31.38686531,0,0,1,178.4951129,0.21925263,0,0,1,178.4951129,0.02451983,0,0,1,178.4951129,5.56186597,0,0
2,20,0.75,1,170.092600000013,39.40841719,0,0,1,181.8261126,0.21782735,0,0,1,181.8261126,0.02431326,0,0,1,181.8261126,5.55557910999999,0,0
2,20,1,0.999999779178347,173.734700000015,42.44934871,0,0,1,183.277843,0.21555269,0,0,1,183.277843,0.02343403,0,0,1,183.277843,6.049991,0,0
3,2,0.25,1,0.567900000000011,0.26163302,0,0,0.990823713342874,50.1425549,0.17845484,0,1.46,1,37.8118181,0.03074464,0,0,0.99375838324153,50.6967635,4.37758078,0,1.45
3,2,0.5,1,0.294400000000004,0.16796351,0,0,0.93778152683728,82.0729192,0.20561169,0,1.42,1,50.6093802,0.02891016,0,0,0.969832868036647,86.5472193,5.64544895,0,1.29
3,2,0.75,1,0.730900000000002,0.28615063,0,0,0.908946022330306,81.7012674,0.20837329,0,1.48,1,22.4921983,0.03047491,0,0,0.949386114540686,86.400537,5.68307265,0,1.3
3,2,1,1,0.01,0.06254242,0,0,0.901628381596358,84.1359194,0.21010158,0,1.48,1,0,0.02923783,0,0,0.901628381596358,84.1359194,5.72144941,0,1.48
3,3,0.25,1,5.48380000000001,0.72159328,0,0,0.985485927907216,77.8608242,0.19177132,0,1.2,1,70.0829853,0.02757818,0,0,0.996875252595878,78.5809413,4.78311684,0,1.19
3,3,0.5,1,6.64420000000003,0.8930197,0,0,0.945870745785471,105.6943608,0.22894286,0,0.88,1,87.8794882,0.02723312,0,0,0.950507026641846,107.857228,6.05383344,0,0.9
3,3,0.75,1,4.21369999999995,0.7779101,0,0,0.89985946298024,112.530989,0.23249191,0,0.86,1,80.1542576,0.02640959,0,0,0.90924001054674,116.9704559,7.06571795,0,0.82
3,3,1,1,0.02,0.0823271799999999,0,0,0.872517847798894,114.5182833,0.23363776,0,0.93,1,75.6693045,0.02637263,0,0,0.872517847798894,114.5182833,7.36424839,0,0.93
3,4,0.25,1,13.5853000000001,1.29977156,0,0,0.984283121561556,105.4559843,0.2048097,0,0.91,1,97.9065582,0.02677037,0,0,0.98648303992588,106.585686,5.7381537,0,0.92
3,4,0.5,1,34.7548,2.32505683,0,0,0.957609034621124,134.4928031,0.23249252,0,0.56,1,125.8085527,0.02748359,0,0,0.960603169429318,136.0469704,6.59017046,0,0.56
3,4,0.75,1,55.5374000000008,3.48927698,0,0,0.927612526845404,148.4799952,0.23060629,0,0.5,1,131.4611505,0.02643807,0,0,0.929051967803308,151.1668464,7.49906437,0,0.5
3,4,1,1,63.5903000000006,4.72562801,0,0,0.915999792919434,139.218813,0.24196373,0,0.53,1,119.4947739,0.02915694,0,0,0.915999792919434,139.218813,7.69652015,0,0.53
3,5,0.25,1,20.3506000000001,1.77891468,0,0,0.99383832423389,108.7290433,0.21964895,0,0.76,1,104.4673844,0.02909699,0,0,0.99353675299778,109.6567588,5.75283437,0,0.79
3,5,0.5,1,67.3387999999998,5.81850415,0,0,0.953111863877595,154.8155788,0.2522717,0,0.4,1,144.1254632,0.02646006,0,0,0.94854192027041,157.2498286,7.14830285,0,0.43
3,5,0.75,1,102.6687,8.11042110999999,0,0,0.949766257124127,173.3428589,0.2361325,0,0.26,1,167.1722419,0.02528731,0,0,0.947954684911627,174.4322654,7.15711321,0,0.27
3,5,1,1,107.4905,8.33086312,0,0,0.934247535656882,166.5448356,0.23312029,0,0.34,1,158.1587823,0.02414932,0,0,0.934247535656882,166.5448356,7.28148246,0,0.34
3,6,0.25,1,39.2745000000002,3.6063989,0,0,0.976681499316136,131.3589722,0.22935791,0,0.71,1,124.5206307,0.02718704,0,0,0.976988045458801,132.456872,5.78620641,0,0.72
3,6,0.5,1,97.3161000000011,8.33375784,0,0,0.985261916225407,175.2646347,0.24787776,0,0.12,1,172.6680586,0.02751075,0,0,0.975841304323801,176.7148321,7.28544867,0,0.16
3,6,0.75,1,121.3472,10.35819355,0,0,0.97869491541902,177.8435133,0.24338654,0,0.12,1,174.0342429,0.02691077,0,0,0.96927326791007,178.5724277,7.20910399,0,0.16
3,6,1,1,129.7318,11.09967742,0,0,0.953808584534054,176.0979249,0.24755874,0,0.25,1,168.9499689,0.02752422,0,0,0.953808584534054,176.0979249,7.3435516,0,0.25
3,7,0.25,1,53.4570000000003,5.49821485,0,0,0.985939004019765,147.1122961,0.23798803,0,0.6,1,140.1542016,0.02858702,0,0,0.987407538042807,148.7705299,5.95642474,0,0.6
3,7,0.5,1,114.9498,12.73066123,0,0,0.985331466527499,192.3141588,0.25513498,0,0.11,1,189.8560602,0.02951549,0,0,0.982973173316774,193.2372453,7.17032159,0,0.12
3,7,0.75,1,151.311199999998,15.42984082,0,0,0.978701817589531,198.9203277,0.26749354,0,0.1,1,197.3484677,0.02940733,0,0,0.97373465258638,199.3625418,7.1430859,0,0.12
3,7,1,1,141.336799999999,14.08901623,0,0,0.969664694283646,181.5392593,0.25127985,0,0.15,1,178.0570596,0.02637765,0,0,0.969664694283646,181.5392593,7.24444349,0,0.15
3,8,0.25,1,60.5488000000002,6.60053552,0,0,0.976364635708573,148.9661593,0.26939138,0,0.51,1,144.0164515,0.03004482,0,0,0.967348430983101,151.5026559,6.20812413,0,0.56
3,8,0.5,1,135.1405,13.29220947,0,0,0.989816054828465,200.0122862,0.25581806,0,0.07,1,199.328574,0.02755827,0,0,0.988471850321175,200.7563763,7.21422418,0,0.08
3,8,0.75,1,162.314299999997,17.65724442,0,0,0.993740424789239,206.6353967,0.25502927,0,0.03,1,206.2958382,0.02709908,0,0,0.984166250691215,207.1624815,7.42105748,0,0.07
3,8,1,1,173.558099999998,21.28867611,0,0,0.982499473452289,206.6148489,0.2613019,0,0.08,1,204.8794839,0.02817481,0,0,0.982499473452289,206.6148489,7.27838984,0,0.08
3,9,0.25,1,69.5114000000002,7.86741821,0,0,0.9857509355065,164.5887484,0.25873794,0,0.31,1,162.101782,0.02944358,0,0,0.9857509355065,164.6210932,6.45412784,0,0.32
3,9,0.5,1,150.4883,17.33926171,0,0,0.992453441028999,213.157908,0.26823918,0,0.07,1,211.3545509,0.02753651,0,0,0.986029197043549,214.0102562,7.17734072,0,0.1
3,9,0.75,1,178.428700000001,21.83340851,0,0,0.98969356883442,219.4669148,0.28456721,0,0.05,1,218.2624594,0.03065556,0,0,0.987486664265033,219.7184308,7.57054421,0,0.06
3,9,1,1,180.780799999997,22.61068033,0,0,0.993956382221829,211.6707602,0.27803935,0,0.03,1,210.5608497,0.02764889,0,0,0.993956382221829,211.6707602,7.63143414,0,0.03
3,10,0.25,1,87.5221000000003,10.8085178,0,0,0.992791692659162,180.1038145,0.26187469,0,0.14,1,178.9872253,0.02989104,0,0,0.994229465381722,180.6441153,6.95398907,0,0.13
3,10,0.5,1,173.820200000001,22.43753676,0,0,0.998112750347532,223.8998748,0.2803778,0,0.02,1,223.4161973,0.02945719,0,0,0.995694513360126,224.008913,7.12170538,0,0.03
3,10,0.75,1,191.6136,24.8024232,0,0,0.995561036859326,222.364561,0.2871236,0,0.02,1,221.9982233,0.02864388,0,0,0.993171443955843,222.580539,7.32865035999999,0,0.03
3,10,1,1,197.019699999999,27.76025931,0,0,0.993651733898022,224.6238057,0.28241605,0,0.03,1,223.9737786,0.02770497,0,0,0.993651733898022,224.6238057,7.92687366,0,0.03
3,11,0.25,0.999999681215904,94.0533999999998,12.33053853,0,0,0.995928361631199,177.6000125,0.24946346,0,0.17,1,176.1351081,0.02840998,0,0,0.995928361631199,177.6026319,6.92410285,0,0.17
3,11,0.5,1,181.540400000001,25.79004488,0,0,0.996121034953529,226.1737978,0.2845832,0,0.02,1,225.8312515,0.02998656,0,0,0.996121034953529,226.1913044,7.18325164000001,0,0.02
3,11,0.75,1,198.871800000001,31.52243429,0,0,0.997698503872851,227.2931821,0.2945721,0,0.00999999999999999,1,227.1559726,0.030088,0,0,0.997698503872851,227.3374712,7.33964309,0,0.00999999999999999
3,11,1,1,196.241399999998,30.48429217,0,0,0.997842565442532,229.3793937,0.27726889,0,0.00999999999999999,1,229.2141369,0.02915263,0,0,0.997842565442532,229.3793937,7.31045854,0,0.00999999999999999
3,12,0.25,1,116.3933,14.94423172,0,0,0.995965752654064,198.5123045,0.27360555,0,0.12,1,197.7573131,0.02951272,0,0,0.990939019552073,199.7010114,7.21007214000001,0,0.16
3,12,0.5,1,183.254800000001,25.31474398,0,0,0.997598043637359,230.9333356,0.27970756,0,0.00999999999999999,1,230.8590287,0.02903118,0,0,0.997598043637359,230.9590843,7.22190988,0,0.00999999999999999
3,12,0.75,1,208.706900000003,32.43419852,0,0,1,237.082636,0.29149684,0,0,1,237.082636,0.03047212,0,0,1,237.082636,7.33855739000001,0,0
3,12,1,1,207.387900000002,33.13917981,0,0,0.997597395073638,235.91273,0.27991251,0,0.00999999999999999,1,235.8221178,0.02949292,0,0,0.997597395073638,235.91273,7.47459871,0,0.00999999999999999
3,13,0.25,1,130.843200000001,18.51544999,0,0,0.998551999570644,204.6785517,0.29416319,0,0.07,1,204.6030956,0.03007894,0,0,0.994350480859839,205.0249398,7.03473377,0,0.1
3,13,0.5,1,189.981300000003,31.40178336,0,0,0.998400823353557,229.8389887,0.292787,0,0.01,1,229.3132847,0.03012604,0,0,0.995901618778829,230.0405267,7.18426798,0,0.02
3,13,0.75,1,215.706900000003,37.38496659,0,0,0.997565849807091,239.8786289,0.30018793,0,0.00999999999999999,1,239.8674592,0.03346168,0,0,0.997565849807091,239.8786289,7.36137925,0,0.00999999999999999
3,13,1,1,211.559200000003,38.69495795,0,0,0.993777142014042,234.3758611,0.28717864,0,0.03,1,233.4969759,0.03140377,0,0,0.993777142014042,234.3758611,7.25255352,0,0.03
3,14,0.25,1,143.660200000001,21.66206639,0,0,1,216.1905403,0.28743317,0,0.03,1,216.1905403,0.03095422,0,0,1,216.1905403,7.22810351,0,0.03
3,14,0.5,1,197.582600000003,33.24838755,0,0,0.993916247028089,235.391206,0.30243602,0,0.03,1,234.8840555,0.03347207,0,0,0.993916247028089,235.5007045,7.32789018,0,0.03
3,14,0.75,1,224.556900000007,43.60574569,0,0,1,248.0802785,0.30009233,0,0,1,248.0802785,0.03376284,0,0,0.99755169179214,248.1242036,7.24592282,0,0.00999999999999999
3,14,1,1,218.468000000004,40.48319081,0,0,0.997707756099292,239.8525014,0.28828892,0,0.00999999999999999,1,239.7424761,0.03109259,0,0,0.997707756099292,239.8525014,7.25138959,0,0.00999999999999999
3,15,0.25,1,144.7007,22.26487102,0,0,0.992019834604363,218.8233388,0.29184759,0,0.05,1,218.3757614,0.03115614,0,0,0.994680056604732,219.2323963,6.96854414,0,0.04
3,15,0.5,1,202.864500000002,40.53773509,0,0,1,240.5488889,0.30750779,0,0,1,240.5488889,0.03189634,0,0,1,240.5488889,7.29790818,0,0
3,15,0.75,1,231.630800000009,49.223675,0,0,1,251.8771077,0.30778093,0,0,1,251.8771077,0.0320088,0,0,1,251.8771077,7.22959859,0,0
