n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
3,13,0.75,1,0.877742562121312,36.95057191,0,0,1,0.996070919153055,0.24695687,0,0,1,0.996070919153055,0.04530949,0,0
3,13,1,1,0.917416261763713,42.17224584,0,0,1,0.996840799999124,0.23426868,0,0,1,0.996840799999124,0.04177955,0,0
3,14,0.25,1,0.650008170935685,15.49338301,0,0,0.998408099030042,0.98796679338183,0.25171498,0,0.03,1,0.981798298806837,0.02687602,0,0
3,14,0.5,1,0.838388567828906,28.43268691,0,0,1,0.99255885766971,0.2540525,0,0,1,0.99255885766971,0.0595711999999999,0,0
3,14,0.75,1,0.894316886623974,38.73041279,0,0,1,0.993670085828577,0.24799651,0,0,1,0.993670085828577,0.04378134,0,0
3,14,1,1,0.92102907647512,44.29626888,0,0,1,0.998242839343545,0.24255934,0,0,1,0.998242839343545,0.0418803800000001,0,0
3,15,0.25,1,0.667957985359389,17.82231619,0,0,1,0.986828431769886,0.25578091,0,0.0233333333333333,1,0.984859563021446,0.02623712,0,0
3,15,0.5,1,0.84167689375553,30.95741061,0,0,1,0.993814569241661,0.25302694,0,0,1,0.993814569241661,0.05455386,0,0
3,15,0.75,0.999999820675922,0.907868397098483,41.84055408,0,0,1,0.996345990938534,0.26137866,0,0,1,0.996345990938534,0.05275372,0,0
3,15,1,0.999999816802898,0.917438360442932,48.33922658,0,0,1,0.998236390242914,0.24543165,0,0,1,0.998236390242914,0.08756922,0,0
3,16,0.25,1,0.726236961455421,21.46203193,0,0,0.998256802225175,0.989305563250459,0.25230379,0,0.02,1,0.988371535483371,0.04675424,0,0
3,16,0.5,1,0.853449373244347,34.8724544,0,0,1,0.996555940393547,0.26174688,0,0,1,0.996555940393547,0.0566042199999999,0,0
3,16,0.75,1,0.906770379549884,45.98445551,0,0,1,0.997573490319956,0.26357957,0,0,1,0.997573490319956,0.05559927,0,0
3,16,1,1,0.931126281545654,53.16154201,0,0,1,0.998964631752395,0.24539035,0,0,1,0.998964631752395,0.0430001,0,0
3,17,0.25,1,0.713683996559302,22.24728183,0,0,1,0.992620297816379,0.25292454,0,0,1,0.992620297816379,0.0472601300000001,0,0
3,17,0.5,1,0.864264450044298,36.77054666,0,0,1,0.997533739030967,0.25989142,0,0,1,0.997533739030967,0.05603632,0,0
3,17,0.75,1,0.917612219318402,50.65725975,0,0,1,0.996218854530245,0.27348236,0,0,1,0.996218854530245,0.0523048,0,0
3,17,1,1,0.939950803524368,56.39961596,0,0,1,0.998307626372252,0.25105617,0,0,1,0.998307626372252,0.04378448,0,0
3,18,0.25,1,0.758521102789959,25.84473765,0,0,1,0.991134410933445,0.30000967,0,0.0133333333333333,1,0.986865609909512,0.03127906,0,0
3,18,0.5,1,0.88090395798845,40.76867143,0,0,1,0.997139440237602,0.273427,0,0,1,0.997139440237602,0.0567759299999999,0,0
3,18,0.75,1,0.922045251518687,56.03960158,0,0,1,0.998444777280492,0.27274391,0,0,1,0.998444777280492,0.04532806,0,0
3,18,1,1,0.94179695669243,59.98446025,0,0,1,0.999346011436609,0.26358032,0,0,1,0.999346011436609,0.04361147,0,0
3,19,0.25,1,0.708315793073513,24.53917602,0,0,0.99753268565871,0.990275751601351,0.25914077,0,0.01,1,0.98830580651757,0.05067434,0,0
3,19,0.5,0.999999969145211,0.888022602815182,45.9512459,0,0,1,0.996401227960824,0.2892741,0,0,1,0.996401227960824,0.0594993,0,0
3,19,0.75,1,0.923269857572468,57.93898273,0,0,1,0.998059782767573,0.27355612,0,0,1,0.998059782767573,0.04729579,0,0
3,19,1,1,0.941689192718709,65.61887117,0,0,1,0.998637660320525,0.26708997,0,0,1,0.998637660320525,0.04706246,0,0
3,20,0.25,1,0.737709071427787,27.41166912,0,0,0.999395216653368,0.995946338486835,0.27183953,0,0.00666666666666667,1,0.995683997359361,0.04670026,0,0
3,20,0.5,0.999999827673486,0.897503977097988,51.3780166,0,0,1,0.997588864763439,0.27851016,0,0,1,0.997588864763439,0.06299184,0,0
3,20,0.75,1,0.934556732665246,61.89802276,0,0,1,0.9973957800617,0.27340917,0,0,1,0.9973957800617,0.0505522,0,0
3,20,1,1,0.945383873799941,71.27199776,0,0,1,0.998470062348212,0.26687806,0,0,1,0.998470062348212,0.05227511,0,0
4,2,0.25,1,0.130809330821082,0.49732121,0,0,0.991851269845668,0.987437155370308,0.24558735,0,0.58,1,0.838252310700219,0.03389285,0,0
4,2,0.5,1,0.0726392217820593,0.885941040000001,0,0,0.969144822848356,0.947265603682867,0.27528967,0,0.565,1,0.638639568911983,0.03274934,0,0
4,2,0.75,1,0.022186613338107,0.537975290000001,0,0,0.954164547651959,0.910303601966928,0.26058646,0,0.535,1,0.391663433196438,0.05146858,0,0
4,2,1,1,0.0203302347205923,0.67086288,0,0,0.940569589916234,0.90716276235065,0.26066525,0,0.54,1,0.297962635646263,0.05904797,0,0
4,3,0.25,1,0.125148080089212,1.1832639,0,0,0.98849810900561,0.973230883269966,0.24953379,0,0.5525,1,0.852018084294676,0.05160076,0,0
4,3,0.5,1,0.124290327595597,1.53069866,0,0,0.965280919830864,0.930526243963923,0.29665985,0,0.3875,1,0.697835173541401,0.03165866,0,0
4,3,0.75,1,0.0940597254333349,1.52457855,0,0,0.954606760600895,0.912111406032843,0.32869326,0,0.3275,1,0.608472009420528,0.03647019,0,0
4,3,1,1,0.0497718845786192,1.16021831,0,0,0.928985707838723,0.884558728966897,0.30475515,0,0.3325,1,0.439510845613244,0.03508712,0,0
4,4,0.25,1,0.132229043214968,1.49499059,0,0,0.978450775588105,0.963041954729425,0.25880666,0,0.43,1,0.848731967352201,0.05113289,0,0
4,4,0.5,1,0.178221040869023,3.01741375,0,0,0.958212333105962,0.909507024732562,0.28460778,0,0.2625,1,0.783556447846303,0.02988564,0,0
4,4,0.75,1,0.210495580960724,3.32371239,0,0,0.974933666454271,0.924214166539047,0.29947458,0,0.12,1,0.825386344755261,0.04730202,0,0
4,4,1,1,0.123963403058753,2.82405307,0,0,0.977586965555364,0.905998697625426,0.31142988,0,0.0575,1,0.871932825910186,0.03043994,0,0
4,5,0.25,1,0.245626820890234,3.24283571,0,0,0.986157732737436,0.965751011378228,0.2706615,0,0.375,1,0.893466169435234,0.04676477,0,0
4,5,0.5,1,0.291842477266887,5.3817641,0,0,0.985078504849112,0.937265744451858,0.33331115,0,0.115,1,0.884489191655516,0.0321113,0,0
4,5,0.75,1,0.488975378253585,8.10261567,0,0,0.987782291510431,0.929945622871418,0.31645532,0,0.0325,1,0.916737916979387,0.02786049,0,0
4,5,1,1,0.639965164711545,9.61729913,0,0,0.988049750679501,0.945167428791579,0.30862664,0,0.025,1,0.939223474014448,0.02556199,0,0
4,6,0.25,1,0.270583578499951,3.81733183,0,0,0.980449122511643,0.959095988676729,0.30553659,0,0.285,1,0.896010264964917,0.03183619,0,0
